landing_id,source_data_point_id,first_batch_recommended,priority_score,risk_level,landing_action,suggested_module,domain_label,topic,source_title,source_page,required_fields,trigger_conditions,expected_behavior,test_suggestion
landing-rule-0034,data-point-0034,yes,117,P0-影响安全/安装,接入报价前追问/拦截,precheck_quote:safety_or_install_gate,柜体,•装有轨道插座的柜体，设计时需考虑轨道电源，电力轨道带有3m长电源线，线材规格3×1.5mm²，黑色，插头为国标三孔10A 250V。为保,轨道插座电源标准,1,product_or_category | length | quote_note | wall_or_install_condition | safety_standard,轨道插座电源标准有什么要求？ | •装有轨道插座的柜体，设计时需考虑轨道电源，电力轨道带有3m长电源线，线材规格3×1.5mm²，黑色，插头为国标三孔10A 250V。为保怎么处理？ | 柜体里关于•装有轨道插座的柜体，设计时需考虑轨道电源，电力轨道带有...怎么说？ | 用户问题或报价参数命中主题：•装有轨道插座的柜体，设计时需考虑轨道电源，电力轨道带有3m长电源线，线材规格3×1.5mm²，... | 用户问题或报价参数命中来源标题：轨道插座电源标准,当报价请求命中“•装有轨道插座的柜体，设计时需考虑轨道电源，电力轨道带有3m长电源线，线材规格3×1...”且所需字段齐全时，报价明细应体现对应加价/补差/折减/公式；字段不足时必须先转 precheck。,新增 precheck 回归：输入包含“•装有轨道插座的柜体，设计时需考虑轨道电源，电力轨道带有3m长电...”但缺关键字段或越界，断言返回追问/拦截原因且不生成正式报价。
landing-rule-0009,data-point-0009,yes,115,P0-影响金额,接入报价计算,pricing_calculation:bed_or_soft_package_adjustment,床榻,•软包床设计要点: •华夫格软包床头：软包部分不可拆卸，软包内部结构固定板为18mmE0级多层板，需明确告知用户； •可选材质:接触面真皮：焦糖橘、高贵咖、经典墨绿；设计时应在合同中备注颜色，并截图手册附于合同中； •软包床头可以搭配任意一,软包床头,1,product_or_category | height | length | material | door_type | quote_note,软包床头有什么要求？ | •软包床设计要点: •华夫格软包床头：软包部分不可拆卸，软包内部结构固定板为18mmE0级多层板，需明确告知用户； •可选材质:接触面真皮：焦糖橘、高贵咖、经典墨绿；设计时应在合同中备注颜色，并截图手册附于合同中； •软包床头可以搭配任意一怎么处理？ | 床榻里关于•软包床设计要点: •华夫格软包床头：软包部分不可拆卸，...怎么说？ | 用户问题或报价参数命中主题：•软包床设计要点: •华夫格软包床头：软包部分不可拆卸，软包内部结构固定板为18mmE0级多层板... | 用户问题或报价参数命中来源标题：软包床头,当报价请求命中“•软包床设计要点: •华夫格软包床头：软包部分不可拆卸，软包内部结构固定板为18mm...”且所需字段齐全时，报价明细应体现对应加价/补差/折减/公式；字段不足时必须先转 precheck。,新增报价回归：输入包含“•软包床设计要点: •华夫格软包床头：软包部分不可拆卸，软包内部...”和完整字段，断言报价明细包含该规则；再测缺字段时不直接出正式报价。
landing-rule-0002,data-point-0002,yes,113,P0-影响金额,接入报价计算,pricing_calculation:cabinet_structure_adjustment,柜体,天地铰链铝框门 •尺寸限制：305mm≤高度≤2200mm，180mm≤宽度≤500mm •门板厚度：26mm •门边框宽度：26mm •门边框颜色：黑色\金色，需备注；可定制银色\白色\红色，需提前询问工厂 •开启方式：拉手开启 •特殊要,天地铰链铝框门,1,product_or_category | height | width | material | door_type | quote_note,天地铰链铝框门有什么要求？ | 天地铰链铝框门 •尺寸限制：305mm≤高度≤2200mm，180mm≤宽度≤500mm •门板厚度：26mm •门边框宽度：26mm •门边框颜色：黑色\金色，需备注；可定制银色\白色\红色，需提前询问工厂 •开启方式：拉手开启 •特殊要怎么处理？ | 柜体里关于天地铰链铝框门 •尺寸限制：305mm≤高度≤2200m...怎么说？ | 用户问题或报价参数命中主题：天地铰链铝框门 •尺寸限制：305mm≤高度≤2200mm，180mm≤宽度≤500mm •门板... | 用户问题或报价参数命中来源标题：天地铰链铝框门,当报价请求命中“天地铰链铝框门 •尺寸限制：305mm≤高度≤2200mm，180mm≤宽度≤500...”且所需字段齐全时，报价明细应体现对应加价/补差/折减/公式；字段不足时必须先转 precheck。,新增报价回归：输入包含“天地铰链铝框门 •尺寸限制：305mm≤高度≤2200mm，18...”和完整字段，断言报价明细包含该规则；再测缺字段时不直接出正式报价。
landing-rule-0155,data-point-0155,yes,107,P0-影响金额,接入报价计算,pricing_calculation:door_panel_adjustment,门板,•隐形穿衣镜：安装于拼框门后，需另外收费，见《报价原则》 •穿衣镜距门边≥10mm，需避让铰链，拼框门门宽要求≥380mm； •如门后安装隐形穿衣镜，立板、层板等柜内板避让内缩25mm •建议安装位置距地面750-900mm •穿衣镜产品信,穿衣镜,2,product_or_category | width | material | door_type | wall_or_install_condition,穿衣镜有什么要求？ | •隐形穿衣镜：安装于拼框门后，需另外收费，见《报价原则》 •穿衣镜距门边≥10mm，需避让铰链，拼框门门宽要求≥380mm； •如门后安装隐形穿衣镜，立板、层板等柜内板避让内缩25mm •建议安装位置距地面750-900mm •穿衣镜产品信怎么处理？ | 门板里关于•隐形穿衣镜：安装于拼框门后，需另外收费，见《报价原则》...怎么说？ | 用户问题或报价参数命中主题：•隐形穿衣镜：安装于拼框门后，需另外收费，见《报价原则》 •穿衣镜距门边≥10mm，需避让铰链，... | 用户问题或报价参数命中来源标题：穿衣镜,当报价请求命中“•隐形穿衣镜：安装于拼框门后，需另外收费，见《报价原则》 •穿衣镜距门边≥10mm，...”且所需字段齐全时，报价明细应体现对应加价/补差/折减/公式；字段不足时必须先转 precheck。,新增报价回归：输入包含“•隐形穿衣镜：安装于拼框门后，需另外收费，见《报价原则》 •穿衣...”和完整字段，断言报价明细包含该规则；再测缺字段时不直接出正式报价。
landing-rule-0406,data-point-0406,yes,101,P0-影响安全/安装,接入报价前追问/拦截,precheck_quote:safety_or_install_gate,柜体,•设计时需考虑插座位置，建议插座面板放置于柜体背板后侧便于隐藏电源走线； •有插座面板处的背板及走线处背板需内退，注意插座或走线与柜体板冲突时需避让； •背板内退距离=面板厚度+电源插头30。注意：需要测量客户家插座面板厚度电源位置避让 插,轨道插座电源标准,2,product_or_category | wall_or_install_condition,轨道插座电源标准有什么要求？ | •设计时需考虑插座位置，建议插座面板放置于柜体背板后侧便于隐藏电源走线； •有插座面板处的背板及走线处背板需内退，注意插座或走线与柜体板冲突时需避让； •背板内退距离=面板厚度+电源插头30。注意：需要测量客户家插座面板厚度电源位置避让 插怎么处理？ | 柜体里关于•设计时需考虑插座位置，建议插座面板放置于柜体背板后侧便...怎么说？ | 用户问题或报价参数命中主题：•设计时需考虑插座位置，建议插座面板放置于柜体背板后侧便于隐藏电源走线； •有插座面板处的背板及... | 用户问题或报价参数命中来源标题：轨道插座电源标准,当报价请求命中“•设计时需考虑插座位置，建议插座面板放置于柜体背板后侧便于隐藏电源走线； •有插座面...”且所需字段齐全时，报价明细应体现对应加价/补差/折减/公式；字段不足时必须先转 precheck。,新增 precheck 回归：输入包含“•设计时需考虑插座位置，建议插座面板放置于柜体背板后侧便于隐藏电...”但缺关键字段或越界，断言返回追问/拦截原因且不生成正式报价。
landing-rule-0099,data-point-0099,yes,100,P0-影响金额,接入报价计算,pricing_calculation:cabinet_structure_adjustment,柜体,•当有特殊需求时，可使用特殊抽屉滑轨，特殊抽屉滑轨有：海蒂诗侧 滑轨、海蒂诗全拉出托底轨、海蒂诗反弹托底轨、海蒂诗反弹回收托 底轨； •海蒂诗反弹回收托底轨默认用于黑鸟书柜，不额外收费，常规柜体中 使用海蒂诗反弹回收托底轨需额外收费，收费标,特殊抽屉滑轨,1,product_or_category,特殊抽屉滑轨有什么要求？ | •当有特殊需求时，可使用特殊抽屉滑轨，特殊抽屉滑轨有：海蒂诗侧 滑轨、海蒂诗全拉出托底轨、海蒂诗反弹托底轨、海蒂诗反弹回收托 底轨； •海蒂诗反弹回收托底轨默认用于黑鸟书柜，不额外收费，常规柜体中 使用海蒂诗反弹回收托底轨需额外收费，收费标怎么处理？ | 柜体里关于•当有特殊需求时，可使用特殊抽屉滑轨，特殊抽屉滑轨有：海...怎么说？ | 用户问题或报价参数命中主题：•当有特殊需求时，可使用特殊抽屉滑轨，特殊抽屉滑轨有：海蒂诗侧 滑轨、海蒂诗全拉出托底轨、海蒂诗... | 用户问题或报价参数命中来源标题：特殊抽屉滑轨,当报价请求命中“•当有特殊需求时，可使用特殊抽屉滑轨，特殊抽屉滑轨有：海蒂诗侧 滑轨、海蒂诗全拉出托...”且所需字段齐全时，报价明细应体现对应加价/补差/折减/公式；字段不足时必须先转 precheck。,新增报价回归：输入包含“•当有特殊需求时，可使用特殊抽屉滑轨，特殊抽屉滑轨有：海蒂诗侧...”和完整字段，断言报价明细包含该规则；再测缺字段时不直接出正式报价。
landing-rule-0027,data-point-0027,yes,100,P0-影响金额,接入报价计算,pricing_calculation:door_panel_adjustment,门板,"极窄斜边拼框门 •该门型无法做玻璃门 •使用扣手开启时,需注意为对凹槽扣手形式，此时侧门边宽度为70mm，外露40mm •总边宽计算方法：边宽60mm+拉手延伸尺寸，拉手延伸的尺寸：对开拉手=10mm，单开拉手=20mm 对开门扣手开启正视",极窄斜边拼框门,2,product_or_category | width | door_type,"极窄斜边拼框门有什么要求？ | 极窄斜边拼框门 •该门型无法做玻璃门 •使用扣手开启时,需注意为对凹槽扣手形式，此时侧门边宽度为70mm，外露40mm •总边宽计算方法：边宽60mm+拉手延伸尺寸，拉手延伸的尺寸：对开拉手=10mm，单开拉手=20mm 对开门扣手开启正视怎么处理？ | 门板里关于极窄斜边拼框门 •该门型无法做玻璃门 •使用扣手开启时,...怎么说？ | 用户问题或报价参数命中主题：极窄斜边拼框门 •该门型无法做玻璃门 •使用扣手开启时,需注意为对凹槽扣手形式，此时侧门边宽度为... | 用户问题或报价参数命中来源标题：极窄斜边拼框门","当报价请求命中“极窄斜边拼框门 •该门型无法做玻璃门 •使用扣手开启时,需注意为对凹槽扣手形式，此时...”且所需字段齐全时，报价明细应体现对应加价/补差/折减/公式；字段不足时必须先转 precheck。","新增报价回归：输入包含“极窄斜边拼框门 •该门型无法做玻璃门 •使用扣手开启时,需注意为...”和完整字段，断言报价明细包含该规则；再测缺字段时不直接出正式报价。"
landing-rule-0151,data-point-0151,yes,102,P0-影响安全/安装,接入报价前追问/拦截,precheck_quote:safety_or_install_gate,柜体,•装有轨道插座的柜体，设计时需考虑轨道电源，电力轨道带有3m长电源线，线材规格3×1.5mm²，黑色，插头为国标三孔10A 250V。为保 证使用安全，设计阶段请明确告知客户预留插座，如客户家中插座与家具位置相距较远，务必与客户沟通并建议其,轨道插座电源标准,1,product_or_category | length | quote_note | wall_or_install_condition | safety_standard,轨道插座电源标准有什么要求？ | •装有轨道插座的柜体，设计时需考虑轨道电源，电力轨道带有3m长电源线，线材规格3×1.5mm²，黑色，插头为国标三孔10A 250V。为保 证使用安全，设计阶段请明确告知客户预留插座，如客户家中插座与家具位置相距较远，务必与客户沟通并建议其怎么处理？ | 柜体里关于•装有轨道插座的柜体，设计时需考虑轨道电源，电力轨道带有...怎么说？ | 用户问题或报价参数命中主题：•装有轨道插座的柜体，设计时需考虑轨道电源，电力轨道带有3m长电源线，线材规格3×1.5mm²，... | 用户问题或报价参数命中来源标题：轨道插座电源标准,当报价请求命中“•装有轨道插座的柜体，设计时需考虑轨道电源，电力轨道带有3m长电源线，线材规格3×1...”且缺少必要条件、备注或尺寸边界时，先追问/拦截，不进入正式报价金额计算。,新增 precheck 回归：输入包含“•装有轨道插座的柜体，设计时需考虑轨道电源，电力轨道带有3m长电...”但缺关键字段或越界，断言返回追问/拦截原因且不生成正式报价。
landing-rule-0069,data-point-0069,yes,101,P0-影响安全/安装,接入报价前追问/拦截,precheck_quote:safety_or_install_gate,柜体,悬空电视柜 悬空支架（隐藏支架） 内空高•尺寸限制：柜体无长度限制，单板件长度＞2600mm时必须断开；内空高度≥105mm；柜体深度D≤430mm •支架为悬空支架，悬空支架一般用在悬空电视柜与挂墙桌上使用，使用该五金配件时，需要固定在承,悬空电视柜,1,product_or_category | height | depth | length | wall_or_install_condition,悬空电视柜有什么要求？ | 悬空电视柜 悬空支架（隐藏支架） 内空高•尺寸限制：柜体无长度限制，单板件长度＞2600mm时必须断开；内空高度≥105mm；柜体深度D≤430mm •支架为悬空支架，悬空支架一般用在悬空电视柜与挂墙桌上使用，使用该五金配件时，需要固定在承怎么处理？ | 柜体里关于悬空电视柜 悬空支架（隐藏支架） 内空高•尺寸限制：柜体...怎么说？ | 用户问题或报价参数命中主题：悬空电视柜 悬空支架（隐藏支架） 内空高•尺寸限制：柜体无长度限制，单板件长度＞2600mm时必... | 用户问题或报价参数命中来源标题：悬空电视柜,当报价请求命中“悬空电视柜 悬空支架（隐藏支架） 内空高•尺寸限制：柜体无长度限制，单板件长度＞26...”且缺少必要条件、备注或尺寸边界时，先追问/拦截，不进入正式报价金额计算。,新增 precheck 回归：输入包含“悬空电视柜 悬空支架（隐藏支架） 内空高•尺寸限制：柜体无长度限...”但缺关键字段或越界，断言返回追问/拦截原因且不生成正式报价。
landing-rule-0168,data-point-0168,yes,95,P0-影响安全/安装,接入报价前追问/拦截,precheck_quote:safety_or_install_gate,柜体,该类书桌必须固定在承重墙上;无需与其他柜体固定订制注意事项： 1.订制可改桌面边角; 2.桌面厚度不可更改，仅可调整抽屉尺寸，抽屉高度最小110mm； 3.若作为书桌或梳妆台等需考虑桌下容腿空间，柜体下沿距地建 议≥580mm。 订制款：,挂墙桌,1,product_or_category | height | wall_or_install_condition,挂墙桌有什么要求？ | 该类书桌必须固定在承重墙上;无需与其他柜体固定订制注意事项： 1.订制可改桌面边角; 2.桌面厚度不可更改，仅可调整抽屉尺寸，抽屉高度最小110mm； 3.若作为书桌或梳妆台等需考虑桌下容腿空间，柜体下沿距地建 议≥580mm。 订制款：怎么处理？ | 柜体里关于该类书桌必须固定在承重墙上;无需与其他柜体固定订制注意事...怎么说？ | 用户问题或报价参数命中主题：该类书桌必须固定在承重墙上;无需与其他柜体固定订制注意事项： 1.订制可改桌面边角; 2.桌面厚... | 用户问题或报价参数命中来源标题：挂墙桌,当报价请求命中“该类书桌必须固定在承重墙上;无需与其他柜体固定订制注意事项： 1.订制可改桌面边角;...”且缺少必要条件、备注或尺寸边界时，先追问/拦截，不进入正式报价金额计算。,新增 precheck 回归：输入包含“该类书桌必须固定在承重墙上;无需与其他柜体固定订制注意事项： 1...”但缺关键字段或越界，断言返回追问/拦截原因且不生成正式报价。
