landing_id,source_data_point_id,machine_status,baseline_decision,conflict_status,landing_confidence,risk_level,landing_action,suggested_module,source_title,source_page,topic,machine_reason,old_rule_match_count,old_rule_titles
landing-rule-0034,data-point-0034,active_new_baseline_candidate,new_rule_addition,no_old_overlap,high,P0-影响安全/安装,接入报价前追问/拦截,precheck_quote:safety_or_install_gate,轨道插座电源标准,1,•装有轨道插座的柜体，设计时需考虑轨道电源，电力轨道带有3m长电源线，线材规格3×1.5mm²，黑色，插头为国标三孔10A 250V。为保,新版高置信追问/拦截规则，未发现旧版相近规则，可进入自动接入队列。,0,
landing-rule-0009,data-point-0009,conflict_paused,requires_formula_tests,money_rule_paused,high,P0-影响金额,接入报价计算,pricing_calculation:bed_or_soft_package_adjustment,软包床头,1,•软包床设计要点: •华夫格软包床头：软包部分不可拆卸，软包内部结构固定板为18mmE0级多层板，需明确告知用户； •可选材质:接触面真皮：焦糖橘、高贵咖、经典墨绿；设计时应在合同中备注颜色，并截图手册附于合同中； •软包床头可以搭配任意一,金额规则影响收费，必须补公式字段和金额回归测试后再激活。,0,
landing-rule-0002,data-point-0002,conflict_paused,requires_formula_tests,money_rule_paused,high,P0-影响金额,接入报价计算,pricing_calculation:cabinet_structure_adjustment,天地铰链铝框门,1,天地铰链铝框门 •尺寸限制：305mm≤高度≤2200mm，180mm≤宽度≤500mm •门板厚度：26mm •门边框宽度：26mm •门边框颜色：黑色\金色，需备注；可定制银色\白色\红色，需提前询问工厂 •开启方式：拉手开启 •特殊要,金额规则影响收费，必须补公式字段和金额回归测试后再激活。,5,只适用天地铰链 | 针式铰链铝框门尺寸限制 | 铝框岩板门尺寸限制 | 拱形藤编门尺寸限制 | 藤编门尺寸限制
landing-rule-0155,data-point-0155,conflict_paused,requires_formula_tests,money_rule_paused,high,P0-影响金额,接入报价计算,pricing_calculation:door_panel_adjustment,穿衣镜,2,•隐形穿衣镜：安装于拼框门后，需另外收费，见《报价原则》 •穿衣镜距门边≥10mm，需避让铰链，拼框门门宽要求≥380mm； •如门后安装隐形穿衣镜，立板、层板等柜内板避让内缩25mm •建议安装位置距地面750-900mm •穿衣镜产品信,金额规则影响收费，必须补公式字段和金额回归测试后再激活。,0,
landing-rule-0406,data-point-0406,active_new_baseline_candidate,new_rule_addition,no_old_overlap,high,P0-影响安全/安装,接入报价前追问/拦截,precheck_quote:safety_or_install_gate,轨道插座电源标准,2,•设计时需考虑插座位置，建议插座面板放置于柜体背板后侧便于隐藏电源走线； •有插座面板处的背板及走线处背板需内退，注意插座或走线与柜体板冲突时需避让； •背板内退距离=面板厚度+电源插头30。注意：需要测量客户家插座面板厚度电源位置避让 插,新版高置信追问/拦截规则，未发现旧版相近规则，可进入自动接入队列。,0,
landing-rule-0099,data-point-0099,conflict_paused,requires_formula_tests,money_rule_paused,high,P0-影响金额,接入报价计算,pricing_calculation:cabinet_structure_adjustment,特殊抽屉滑轨,1,•当有特殊需求时，可使用特殊抽屉滑轨，特殊抽屉滑轨有：海蒂诗侧 滑轨、海蒂诗全拉出托底轨、海蒂诗反弹托底轨、海蒂诗反弹回收托 底轨； •海蒂诗反弹回收托底轨默认用于黑鸟书柜，不额外收费，常规柜体中 使用海蒂诗反弹回收托底轨需额外收费，收费标,金额规则影响收费，必须补公式字段和金额回归测试后再激活。,0,
landing-rule-0027,data-point-0027,conflict_paused,requires_formula_tests,money_rule_paused,high,P0-影响金额,接入报价计算,pricing_calculation:door_panel_adjustment,极窄斜边拼框门,2,"极窄斜边拼框门 •该门型无法做玻璃门 •使用扣手开启时,需注意为对凹槽扣手形式，此时侧门边宽度为70mm，外露40mm •总边宽计算方法：边宽60mm+拉手延伸尺寸，拉手延伸的尺寸：对开拉手=10mm，单开拉手=20mm 对开门扣手开启正视",金额规则影响收费，必须补公式字段和金额回归测试后再激活。,0,
landing-rule-0151,data-point-0151,active_new_baseline_candidate,new_rule_addition,no_old_overlap,high,P0-影响安全/安装,接入报价前追问/拦截,precheck_quote:safety_or_install_gate,轨道插座电源标准,1,•装有轨道插座的柜体，设计时需考虑轨道电源，电力轨道带有3m长电源线，线材规格3×1.5mm²，黑色，插头为国标三孔10A 250V。为保 证使用安全，设计阶段请明确告知客户预留插座，如客户家中插座与家具位置相距较远，务必与客户沟通并建议其,新版高置信追问/拦截规则，未发现旧版相近规则，可进入自动接入队列。,0,
landing-rule-0069,data-point-0069,active_new_baseline_candidate,new_rule_addition,no_old_overlap,high,P0-影响安全/安装,接入报价前追问/拦截,precheck_quote:safety_or_install_gate,悬空电视柜,1,悬空电视柜 悬空支架（隐藏支架） 内空高•尺寸限制：柜体无长度限制，单板件长度＞2600mm时必须断开；内空高度≥105mm；柜体深度D≤430mm •支架为悬空支架，悬空支架一般用在悬空电视柜与挂墙桌上使用，使用该五金配件时，需要固定在承,新版高置信追问/拦截规则，未发现旧版相近规则，可进入自动接入队列。,0,
landing-rule-0168,data-point-0168,active_new_baseline_candidate,new_overrides_old_after_tests,old_overlap_shadow_required,high,P0-影响安全/安装,接入报价前追问/拦截,precheck_quote:safety_or_install_gate,挂墙桌,1,该类书桌必须固定在承重墙上;无需与其他柜体固定订制注意事项： 1.订制可改桌面边角; 2.桌面厚度不可更改，仅可调整抽屉尺寸，抽屉高度最小110mm； 3.若作为书桌或梳妆台等需考虑桌下容腿空间，柜体下沿距地建 议≥580mm。 订制款：,新版高置信追问/拦截规则可自动推进；存在旧版相近规则，需 shadow 和回归测试后覆盖。,3,2000*900*780 订制款： 长度≤2000mm 宽度≤900mm其他桌 该类书桌必须固定在承重墙上;无需与其他柜体固定订制注意事项： | 若作为书桌或梳妆台等需考虑桌下容腿空间，柜体下沿距地建 | 桌面厚度不可更改，仅可调整抽屉尺寸，抽屉高度最小110mm；
landing-rule-0144,data-point-0144,active_new_baseline_candidate,new_overrides_old_after_tests,old_overlap_shadow_required,high,P0-影响安全/安装,接入报价前追问/拦截,precheck_quote:safety_or_install_gate,下翻门,1,下翻门（安全阻尼器） •门板面积（㎡）*门高H≤0.2 •开启方式：可抠手开启、五金拉手开启 •尺寸限制：门长度≤1040mm，真格栅下翻门门长度＞765mm时需加竖撑 拼框门高度≤560mm；横纹平板下翻门高度≤500mm，门高＞450m,新版高置信追问/拦截规则可自动推进；存在旧版相近规则，需 shadow 和回归测试后覆盖。,4,可推弹开启、抠手开启、拉手 | 可铣型拉手开启、五金拉手 | 可抠手开启、五金拉手 | 10mm；边框可选择无斜边，默认有，无斜边需要备注；
landing-rule-0691,data-point-0691,active_new_baseline_candidate,new_overrides_old_after_tests,old_overlap_shadow_required,high,P0-影响安全/安装,接入报价前追问/拦截,precheck_quote:safety_or_install_gate,电动举升器,1,电动举升器 床垫重量应≤50kg，设计时需考虑客户家床垫重量。 电动举升器完全打开后可达27°大开角，取放方便。 安装空间要求：内空长度≥1350mm 内空高度≥205mm。 每个电动举升器配有1个电源、1个开关接收器、一个遥控器。 床箱内,新版高置信追问/拦截规则可自动推进；存在旧版相近规则，需 shadow 和回归测试后覆盖。,1,床垫重量应≤50kg，设计时需考虑客户家床垫重量，如床垫超重可使用两套750N举升器，下单时需备注。
landing-rule-0074,data-point-0074,active_new_baseline_candidate,new_rule_addition,no_old_overlap,high,P0-影响安全/安装,接入报价前追问/拦截,precheck_quote:safety_or_install_gate,活动层板,3,•为避免活动层板挪开后的边角对接处外露产生的安全风险，圆边开放柜体中的活动层板 默认内退10mm，该活动层板外缘默认跟随柜框边角，边角特殊要求需备注。 •如图2-59，因需避让铰链，活动层板距离固定层的上下间距≤180mm不能打排孔。 •如,新版高置信追问/拦截规则，未发现旧版相近规则，可进入自动接入队列。,0,
landing-rule-0299,data-point-0299,active_new_baseline_candidate,new_rule_addition,no_old_overlap,high,P0-影响安全/安装,接入报价前追问/拦截,precheck_quote:safety_or_install_gate,GB 28007-2024 婴幼儿及儿童家具安全技术规范,32,"栏板处开一个供进出床铺面的缺口;要么设置的进出缺口正对位置有一个符合本文件规定的 楼梯平台(进出平台)。非住宅用产品,与建筑物相连接的一侧可无安全栏板,但制造商应在产 品和使用说明中有符合本文件规定的警示标识。 b) 安全栏板的顶边与上层床",新版高置信追问/拦截规则，未发现旧版相近规则，可进入自动接入队列。,0,
landing-rule-0428,data-point-0428,active_new_baseline_candidate,new_rule_addition,no_old_overlap,high,P0-影响安全/安装,接入报价前追问/拦截,precheck_quote:safety_or_install_gate,GB 28007-2024 婴幼儿及儿童家具安全技术规范,38,"面时,应将这些撑杆拆除。",新版高置信追问/拦截规则，未发现旧版相近规则，可进入自动接入队列。,0,
